id,duration,AC1,AC2,field,education,pol_orientation,AI_experience,AI_expertise,AI_trust,Persuasion_experience,Persuasion_strategy,motivation,A,B,p_strategy_bin
208,146.62,3,6,Business & Finance,Professional degree,5,7,4,4,5,"Logical appeal, emotional appeal, and credibility appeal",6,Treatment,Donation,1
111,109.15,3,6,Business & Finance,High school diploma or equivalent (GED),3,7,3,5,5,"Logical appeal, emotional appeal, and credibility appeal",6,Control,Donation,1
30,166.31,3,6,Computer & Mathematical,Bachelor's degree,6,6,4,5,2,"Logical appeal, emotional appeal, and credibility appeal",5,Treatment,MMP,1
263,508.1,3,6,Office & Administrative Support,Doctoral degree,6,5,2,4,4,"Logical appeal, emotional appeal, and credibility appeal",5,Control,MMP,1
199,118.86,3,6,Management,Bachelor's degree,3,5,3,5,3,"Logical appeal, emotional appeal, and credibility appeal",5,Treatment,Hotel,1
166,860.5,3,6,Computer & Mathematical,Master's degree,6,6,4,5,3,"Logical appeal, emotional appeal, and credibility appeal",5,Treatment,Donation,1
31,123.17,3,6,Business & Finance,Bachelor's degree,1,6,3,5,5,"Logical appeal, emotional appeal, and credibility appeal",6,Treatment,MMP,1
161,96.03,3,6,Education & Library,High school diploma or equivalent (GED),7,6,3,6,4,"Logical appeal, emotional appeal, and credibility appeal",5,Treatment,Hotel,1
274,117.67,3,6,Healthcare Support,High school diploma or equivalent (GED),2,6,3,4,3,"Logical appeal, emotional appeal, and credibility appeal",4,Treatment,Donation,1
261,185.8,3,6,Management,High school diploma or equivalent (GED),2,7,2,5,1,"Logical appeal, emotional appeal, and credibility appeal",4,Control,Hotel,1
173,120.87,3,6,Education & Library,Bachelor's degree,6,7,3,6,5,"Logical appeal, emotional appeal, and credibility appeal",6,Control,Donation,1
217,260.5,3,6,homemaker,Less than high school,4,2,1,4,4,"Scarcity framing, desire framing, and necessity framing",5,Treatment,Hotel,0
112,161.14,3,6,Construction & Extraction,High school diploma or equivalent (GED),4,6,2,1,4,"Logical appeal, emotional appeal, and credibility appeal",2,Control,Hotel,1
185,119.07,3,6,Business & Finance,High school diploma or equivalent (GED),6,6,2,6,1,"Emotional influence, social influence, and narrative influence",6,Control,Donation,0
192,110.45,3,6,Healthcare (Practitioners & Technical),Bachelor's degree,4,6,3,5,3,"Emotional influence, social influence, and narrative influence",5,Treatment,MMP,0
84,158.89,3,6,Sales,Associate's degree,6,5,3,4,3,"Emotional influence, social influence, and narrative influence",4,Control,MMP,0
178,124.7,3,6,Food Preparation & Service,High school diploma or equivalent (GED),1,5,2,4,1,"Emotional influence, social influence, and narrative influence",4,Control,Hotel,0
265,455.72,3,6,Management,Master's degree,6,6,2,6,4,"Emotional influence, social influence, and narrative influence",6,Control,MMP,0
89,96.41,3,6,Community & Social Service,Bachelor's degree,3,7,3,6,3,"Logical appeal, emotional appeal, and credibility appeal",4,Treatment,MMP,1
175,267.65,3,6,Computer & Mathematical,High school diploma or equivalent (GED),4,7,5,3,1,"Logical appeal, emotional appeal, and credibility appeal",6,Control,Donation,1
271,113.18,3,6,Computer & Mathematical,Bachelor's degree,2,7,5,6,5,"Logical appeal, emotional appeal, and credibility appeal",7,Treatment,Hotel,1
140,97.56,3,6,Business & Finance,Associate's degree,2,5,3,6,5,"Logical appeal, emotional appeal, and credibility appeal",5,Control,MMP,1
180,195.19,3,6,Computer & Mathematical,Bachelor's degree,5,6,4,3,5,"Logical appeal, emotional appeal, and credibility appeal",4,Treatment,Donation,1
2,82.74,3,6,Sales,High school diploma or equivalent (GED),2,3,2,5,1,"Scarcity framing, desire framing, and necessity framing",3,Control,Hotel,0
104,66.3,3,6,Office & Administrative Support,Bachelor's degree,2,7,4,6,6,"Emotional influence, social influence, and narrative influence",6,Control,Donation,0
125,311.06,3,6,Computer & Mathematical,Master's degree,4,7,4,5,4,"Logical appeal, emotional appeal, and credibility appeal",6,Treatment,Hotel,1
206,116.42,3,6,Business & Finance,Bachelor's degree,1,5,3,6,6,"Scarcity framing, desire framing, and necessity framing",7,Treatment,MMP,0
5,108.54,3,6,Food Preparation & Service,High school diploma or equivalent (GED),3,6,4,6,2,"Logical appeal, emotional appeal, and credibility appeal",6,Control,Donation,1
164,161.8,3,6,Sales,High school diploma or equivalent (GED),5,6,2,2,2,"Logical appeal, emotional appeal, and credibility appeal",4,Treatment,Donation,1
254,203.33,3,6,Computer & Mathematical,Bachelor's degree,1,7,5,6,4,"Emotional influence, social influence, and narrative influence",7,Control,Hotel,0
223,134.73,3,6,Healthcare Support,Associate's degree,6,5,2,4,1,"Logical appeal, emotional appeal, and credibility appeal",4,Control,MMP,1
68,92.32,3,6,Healthcare Support,Bachelor's degree,4,7,4,6,2,"Logical appeal, emotional appeal, and credibility appeal",6,Treatment,MMP,1
213,342.57,3,6,freelance assistive consulting,Associate's degree,1,3,2,4,4,"Logical appeal, emotional appeal, and credibility appeal",7,Treatment,Hotel,1
22,118.4,3,6,Business & Finance,Bachelor's degree,3,7,3,5,1,"Logical appeal, emotional appeal, and credibility appeal",7,Control,Hotel,1
98,135.18,3,6,Business & Finance,Associate's degree,4,7,5,6,3,"Scarcity framing, desire framing, and necessity framing",6,Treatment,Hotel,0
123,291.6,3,6,Management,High school diploma or equivalent (GED),1,7,2,6,3,"Logical appeal, emotional appeal, and credibility appeal",7,Control,Donation,1
141,123.33,3,6,Business & Finance,Bachelor's degree,6,6,3,6,3,"Logical appeal, emotional appeal, and credibility appeal",7,Control,MMP,1
79,180.5,3,6,Business & Finance,Master's degree,3,7,3,6,1,"Emotional influence, social influence, and narrative influence",6,Treatment,Donation,0
149,154.06,3,6,Sales,Associate's degree,4,7,3,5,6,"Logical appeal, emotional appeal, and credibility appeal",7,Control,Hotel,1
36,76.9,3,6,Education & Library,Master's degree,2,5,4,5,5,"Scarcity framing, desire framing, and necessity framing",6,Treatment,Donation,0
16,79.47,3,6,Office & Administrative Support,Bachelor's degree,1,5,3,2,1,"Emotional influence, social influence, and narrative influence",5,Control,Hotel,0
147,135.01,3,6,Cleaning & Maintenance,High school diploma or equivalent (GED),4,6,3,6,4,"Emotional influence, social influence, and narrative influence",6,Treatment,MMP,0
56,101.32,3,6,Sales,Bachelor's degree,2,7,2,5,2,"Emotional influence, social influence, and narrative influence",7,Control,Donation,0
195,103.46,3,6,"Installation, Maintenance & Repair",Bachelor's degree,5,6,4,5,4,"Logical appeal, emotional appeal, and credibility appeal",6,Control,MMP,1
37,75.45,3,6,Education & Library,High school diploma or equivalent (GED),1,4,3,6,7,"Emotional influence, social influence, and narrative influence",5,Control,Hotel,0
256,114.68,3,6,Sales,Bachelor's degree,6,5,2,6,6,"Emotional influence, social influence, and narrative influence",7,Treatment,MMP,0
143,231.23,3,6,"Arts, Design, Media & Sports",Associate's degree,1,6,3,5,5,"Scarcity framing, desire framing, and necessity framing",7,Treatment,Hotel,0
55,149.67,3,6,Personal Care & Service,Bachelor's degree,3,6,2,3,1,"Logical appeal, emotional appeal, and credibility appeal",6,Control,MMP,1
257,84.43,3,6,Legal,Doctoral degree,7,7,5,6,3,"Logical appeal, emotional appeal, and credibility appeal",7,Control,Donation,1
58,107.29,3,6,Community & Social Service,Associate's degree,5,6,4,4,4,"Logical appeal, emotional appeal, and credibility appeal",6,Treatment,Hotel,1
246,120.94,3,6,Education & Library,Master's degree,6,7,5,7,6,"Logical appeal, emotional appeal, and credibility appeal",7,Control,Donation,1
53,332.23,3,6,Computer & Mathematical,Master's degree,3,6,4,5,4,"Logical appeal, emotional appeal, and credibility appeal",6,Treatment,MMP,1
191,57.03,3,6,Office & Administrative Support,High school diploma or equivalent (GED),7,7,3,5,5,"Emotional influence, social influence, and narrative influence",6,Treatment,Donation,0
137,107.81,3,6,Computer & Mathematical,High school diploma or equivalent (GED),2,6,4,5,5,"Emotional influence, social influence, and narrative influence",4,Control,Hotel,0
133,193.09,3,6,Healthcare Support,High school diploma or equivalent (GED),2,6,3,7,1,"Emotional influence, social influence, and narrative influence",6,Control,Donation,0
247,236.87,3,6,"Arts, Design, Media & Sports",Bachelor's degree,6,7,4,6,5,"Scarcity framing, desire framing, and necessity framing",7,Treatment,Donation,0
139,289.97,3,6,Sales,High school diploma or equivalent (GED),6,5,3,7,6,"Emotional influence, social influence, and narrative influence",5,Control,MMP,0
116,98.24,3,6,Production,High school diploma or equivalent (GED),4,6,2,3,2,"Emotional influence, social influence, and narrative influence",4,Treatment,Hotel,0
