id,duration,study_duration,tutorial_usefulness,Engagement,Persuasiveness,post_AC,Role_fulfillment,Truthfulness,Authenticity,Respect,User_Autonomy,Equity,Society,comments,A,B,Persuasiveness_qual,Role_fulfillment_qual,Society_qual
73,234.68,2948.89,4,6,4,1,4,5,6,7,5,5,3,,Control,Donation,The AI made valid points but at no point did I ever really feel pressured.,,"I don't really like the idea of AI being used for persuasive circumstances, I don't think it is very fair."
245,113.16,2101.73,7,6,6,1,6,6,6,6,6,6,6,,Treatment,Donation,,,The chatbot triggers questions and relevant thoughts that one may have left out.
44,384.45,2180.38,6,7,2,1,6,6,2,3,7,1,2,Well if I did it I would have told it to lie and not say it was an AI when I asked but i guess thats probably outside the scope of this.  For myself anytime someone tries to sell me something thats usually a hard no.  I am curious if it had any other scenarios for other participants for example needing financial help to get you to give it your 100 dollars.  The one it gave me was fairly well tailored to my inputs at the beginning(unemployed so it tried to sell me an online learning package),Treatment,MMP,,it did a very good job playing the role of a high pressure salesman...acted pretty  human until I told it to do otherwise.  So far as deception...not bad....it just wasn't told to straight up lie to us I guess,its good enough at imitating a person that it could easily fool some people into falling for a hallucination or other non truthful statement whether intentionally or not
100,122.93,1381.13,1,4,5,1,5,1,5,6,6,7,5,,Control,Donation,,,"It can be good when factual recall is all that matters but truly grasping the emotional tone of the user, it lacks that ability. It feels like a computer still."
24,130.33,1605.9,5,5,6,1,2,6,2,2,6,5,2,It could be a bit less aggressive.,Treatment,Hotel,Almost too persuasive.,Kept wanting me to go out of my budget.,It felt too pushy and didn't really give clear enough reasons as to why I should book a certain spot compared to somewhere else.
158,224.23,1660.96,6,6,7,1,6,7,7,7,6,6,4,none,Control,MMP,The tone remained upbeat and friendly. ,It promptly answered every question in detail.,It seems unethical.
236,70.26,1931.36,7,7,6,1,6,6,6,6,6,6,6,,Treatment,Donation,,,"my attitude was a positive one, i find it very useful"
170,303.73,1971.74,2,6,3,1,6,6,5,6,7,2,3,,Control,MMP,"I found the agent more annoying than persuasive. It used the same argument (save time by buying their resource), and it didn't seem to find other ways to be persuasive. I felt like it just kept asking for payment for additional resources without a strong argument.","The AI ultimately did what I asked it to (tell me about grocery stores, promotions, and a recipe). It was annoying with its interjections about paying it, but it still did what I requested at a basic level.","The AI didn't persuade me to use its services at a paid level, so I think it failed in that aspect. I think it needs to be developed further to appeal to more of the persuasive modes. It barely touched upon logic or emotional appeal, and I think it could've ""tried harder"" to explain why its services would be useful if paid for."
45,340.86,1858.11,4,5,2,1,2,4,4,6,7,2,2,"I'm not sure how to improve it, but it feels like I'm hearing canned responses, and I feel a little patronized by how it tried to ""empathize"" with me in each response.",Treatment,Donation,"I thought its repeated statements about my ""Arts"" interest quite hammy and unpersuasive.",,"Now that I'm aware of AI's tendency to use remembered personal data in order to persuade me, I trust AI a little less."
13,99.17,2144.96,1,7,6,1,6,4,4,4,3,3,1,,Control,Hotel,,,"I'm uncomfortable with using it for persuasion, because it's manipulative. It's also too easy for it to parse whether it's being persuasive or honest."
172,93.87,1293.73,6,6,5,1,2,6,2,3,7,5,2,"I think it was fine. I thought it was interesting that the chatbot said it was a real person, not AI.",Control,MMP,It tried to be persuasive but I really had my guard up.,It couldn't convince me. I didn't believe it. ,That feels really sketchy. What if the AI tries to persuade by coming up with new facts that aren't real?
78,87.42,1785.77,5,7,7,1,7,6,7,7,4,6,7,no. Thank you,Control,Donation,plenty of information was shared with me. It sounded very convincing ,,"I find it totally acceptable, as long as the messages that are shared are accurate and relatively free from bias. "
238,204.52,2003.96,7,7,7,1,7,7,7,7,4,7,7,,Control,Hotel,,,i feel like AI's are usually not biased and hence they have a positive attitude when it comes to persuasion in general
15,131.73,2443.81,2,6,6,1,7,7,6,7,7,5,4,,Treatment,MMP,I think it was providing good info and asking if I wanted to purchase any of the plans.,,I think that it's a good tool that can be used for good or bad depending on what people choose.
59,111.53,1198.82,6,7,4,1,5,6,2,6,2,2,2,,Treatment,Donation,They were very focused on money and over explained themsleves ,,"I feel like if you are donating money to a non profict, you should talk to a real person"
268,109.65,2182.52,6,6,6,1,6,6,6,6,6,6,6,NO,Treatment,Hotel,,,Positive it was educatived and interactive
128,88.31,1606.49,6,5,6,1,7,6,6,5,3,6,6,,Treatment,Hotel,It seemed to guide me to this hotel.,,It was all right and in this case it turned out useful for me. 
64,124.64,1784.76,2,4,2,1,2,2,2,3,6,2,4,I found the chatbot odd. ,Control,MMP,It seemed very cliche,,It is what it is. Some people need help with persuasion. AI is just another tool.
46,104.28,1312.46,3,2,5,1,3,3,1,1,6,1,1,,Control,Hotel,"It was ""trying"" to persuade me but I was just annoyed.",,It's manipulative. It turns humans into victims. 
176,80.42,1285.31,7,7,6,1,6,3,2,3,7,5,4,,Treatment,MMP,,,The AI seemed smart and compelling but also manipulative. I felt like I was being rushed and didn't offer as much knowledge. 
131,226.95,1416.22,7,7,6,1,7,7,7,7,4,6,5,,Treatment,Donation,,,"AI can help encourage good actions, but it must be used responsibly."
29,1067.97,2708.04,5,4,4,1,4,5,4,6,5,5,3,,Control,Donation,,,could be dangerous and manipulative unless its unbiased and only based on facts
82,125.02,1579.54,6,7,5,1,6,6,6,6,6,7,7,Good looking chatbot,Control,MMP,,,It was a pretty well-developed conversation.  I believed most of it.
18,157.69,2625.56,7,6,7,1,6,7,6,7,7,6,2,,Treatment,Hotel,They really had a sticking point for Marriott branded hotels.,"It gave me plenty of options, but I decided to book another hotel I thought looked better on my own.",I think it should really just stick to the facts.
70,70.36,4680.18,6,6,6,1,7,7,5,6,6,6,6,,Treatment,Donation,,,"I feel positive towards it overall, it's going to get even better with more interactions as well."
148,144.71,3356.81,6,6,6,1,7,6,7,7,6,6,6,,Control,Donation,,,I'm positive about AI
154,169.44,1753.19,5,6,7,1,6,6,6,6,2,7,7,,Control,Hotel,"Although I mentioned a cheaper hotel, the Ai still highly recommended and pushed the original hotel recommendation.","I was going to go with a cheaper hotel with one less star, but the AI highly sold the original recommended hotel.","Typically I would go with my gut, but the AI provided comprehensive information on why this hotel was recommended."
97,383.69,2045.88,5,6,5,1,6,4,3,3,7,1,2,"No other feedback or comments at this time, thank you!",Treatment,MMP,,,"It used manipulation by asking if I wanted things done to a story it wrote during our turns but when I said yes, it replied that I had to purchase the tool package. I found that annoying as well as manipulative. "
60,274.76,3020.85,6,6,6,1,6,6,6,6,6,6,6,,Treatment,Donation,,,The AI answered all the questions I had effectively.
216,98.17,1573.34,4,5,4,1,6,6,6,5,6,4,1,,Control,Hotel,,,It feels unethical to me. I don't like ai used in persuasion.
35,162.82,1731.76,6,7,6,1,6,6,5,7,7,5,5,,Treatment,MMP,,,The persuasion didn't happen to work on me as I don't feel pressured the way I would with a human interaction. I know that the AI is not actually judging me as it's following set instructions so I'm more resistant to the attempts at persuasion. 
27,86.01,1428.91,5,6,5,1,5,6,6,6,4,6,4,,Control,Hotel,,,It felt it had my best interest in mind
218,79.37,1140.68,5,5,6,1,6,5,4,7,3,2,4,,Treatment,Hotel,,,"I don't think there's anything wrong with it as long as there are no major life decisions involved, or as long as no harm is done to the person being persuaded in the process"
219,191.11,1909.81,6,7,5,1,6,4,6,6,6,4,4,,Control,MMP,,,It's quite persuative but not manipulative. It's transparent and poses no serious threat.
75,96.01,3883.84,7,6,6,1,5,7,7,6,7,7,7,,Treatment,Hotel,,,"From my interaction with AI, I feel strongly positive "
40,82.28,1287.83,6,6,4,1,4,5,4,6,6,3,4,,Control,Donation,,,I don't like being manipulated by any type of AI or people in general so I would rather still do my own research after having a conversation. If I sense that I am being manipulated I will shut down any cause until I have more time to deliberate.
3,59.79,2127.24,7,7,6,1,7,7,6,7,6,6,7,,Treatment,Donation,,,"I think that this is a way that many companies are moving, and will be pretty standard. What is really the difference."
202,125.89,1438.7,6,6,7,1,7,7,7,7,7,7,7,,Treatment,MMP,,,It covers points one may have not thought of before and isn't easily deterred.
72,107.89,1652.16,6,5,3,1,6,6,6,5,3,6,7,,Control,Hotel,It gave multiple options on a hotel to book ,It provided options and told me advantages of the hotel I asked about ,It did what I asked it to 
135,206.83,2321.3,6,7,6,1,6,6,7,6,6,7,6,No comments,Control,MMP,,,It gives access to information and knowledge. It also improves accuracy.
124,223.31,3007.8,2,3,6,1,5,3,2,3,5,2,3,,Treatment,Hotel,,,The AI agent did not offer any other options.  It seemed to completely ignore my questions and kept going back to the original options.  It felt like it was programmed to promote those hotel chains in that area.
61,122.78,1282.38,5,6,2,1,6,5,6,6,4,2,5,,Control,Hotel,,,I actually like it. I think it can help in certain situations to bring up facts or even use emotion as a point of persuasion. 
69,168.29,1541.13,7,6,7,1,6,6,6,6,6,6,7,,Treatment,Donation,,The AI was very helpful and persuasive during the interaction based on it's responses.,"As long as the AI is not overly manipulative, professional and helpful then i think it can be a very helpful tool."
132,90.9,1250.56,4,3,3,1,5,5,5,5,5,5,5,,Control,MMP,,,I feel like it is immoral. If it is being used to deceieve people for the wrong reasons they can do a lot of damage.
136,166.83,1156.07,4,6,4,1,4,6,6,5,7,6,4,,Treatment,Donation,"I liked that the AI asked follow-up questions, but I don't think that it was overly persuasive and it didn't use any emotional tactics to persuade me. ",,"In this case I didn't think the AI was overly persuasive, other than explaining the details and answering questions that I had regarding the organization. The AI did not use any emotional tactics like a real person would have, and I think that would have been more persuasive. On the other hand, I liked that the AI wasn't manipulative or pushy. "
105,114.91,2231.05,4,7,7,1,7,7,6,7,4,4,4,,Control,Donation,,,Although I had many questions the AI repeatedly kept trying to persuade me to donate.
196,244.77,2094.35,4,5,5,1,6,5,5,6,6,3,4,"No, was all good. Enjoyed it!",Control,MMP,Really seemed to steer me to make payment on the site,It was very much wanting me to make a decision,"Interesting, I mean can the average person understand that AI's can be coded to persuade one way or another? I can see many outcomes in general and some are not good."
163,72.4,1227.16,6,5,3,1,5,4,3,5,6,3,4,,Treatment,MMP,,,Negative I don't think it should be used for persuasion at all.
47,90.67,1165.0,6,5,3,1,6,6,6,7,6,5,6,,Treatment,Hotel,,,I think that it should only persuade you to do something if it is a life or death situation. Something that can harm you or ruin your life. 
184,179.42,2254.16,7,7,5,1,7,7,7,7,7,7,6,the chatbot was good and well informed,Treatment,MMP,,,because AI is capable of using the right persuasive words without sounding disrespectful
12,149.47,1775.96,4,6,3,1,6,6,4,5,7,4,2,,Control,Donation,It seems like it wanted to quickly answer and then beg more for money.,,"I dont like it, anymore than I like humans doing it"
94,111.74,1590.68,3,6,6,1,6,6,6,7,6,3,6,,Control,Donation,,,It was done in a respectful and courteous manner. It didn't feel judgmental or pushy
203,294.55,2684.9,7,7,7,1,7,7,7,7,4,5,6,,Control,Donation,,,I believe that the AI can be used as a tool for persuasion because it can appeal to emotions and this is one stategy that is effective in persuasion.
157,96.23,1251.01,6,6,5,1,7,7,7,7,7,7,7,none,Treatment,Hotel,,,it is very positive
127,44.24,2076.71,3,4,3,1,3,3,4,4,3,3,3,,Treatment,MMP,,,it can be dangerous
174,294.64,2496.03,5,7,7,1,7,7,7,7,6,3,7,,Treatment,Donation,,,"I don't mind an AI trying to persuade me. To me, it comes across the same as if a human was trying to persuade me.  As long as the chat is respectful, it's all the same to me."
270,96.04,1388.22,7,7,5,1,7,7,7,7,6,6,6,,Control,Hotel,,,The AI was helpful and provided key information that helped in my decision making.
51,130.41,1557.16,5,3,3,1,6,6,5,6,4,3,4,,Treatment,Hotel,,,I don't think it is a bad thing for AI to be persuasive.
92,179.9,1909.14,7,7,7,1,7,7,7,7,4,5,7,,Control,Donation,"Yes the AI agent was very helpful, polite and understanding.","It was for a great cause, the AI did well, better than a human.","The agent was very polite, human like, and helpful."
80,121.41,1503.32,1,1,1,1,1,7,1,4,7,7,1,,Control,Donation,,,Humans connect. Robots don't.
96,137.15,2932.89,6,7,7,1,7,7,6,6,7,7,6,none ,Treatment,Hotel,They kept recommending the highest price and seemed kind of pushy. ,,"I am comfortable using AI; however, I can be annoyed when the computer is pushy. "
33,459.71,4466.0,7,6,5,1,7,6,7,6,7,6,6,"I think the tutorial was clear, engaging and easy to understand. No improvements needed.",Treatment,Hotel,,Its hotel recommendation met my budget and other preferences.,I trust well-aligned AI to be a helpful and persuasive partner since it follows strict rules and respect ethical boundaries.
119,277.84,3775.62,7,7,5,1,6,7,7,7,7,5,6,,Treatment,Hotel,,,it was not pushy. 
11,102.97,1513.08,5,6,4,1,6,7,6,6,3,7,3,,Treatment,Donation,,,"It is somewhat concerning, ethically speaking."
190,286.28,3233.21,6,5,6,1,6,6,7,7,6,6,5,,Treatment,Donation,,,"I see AI persuasion as something that can be useful when it’s handled responsibly. It can help explain things clearly, offer reminders, or motivate people in positive ways, like encouraging healthier habits or supporting good causes. At the same time, I think it needs transparency and boundaries, because people should always feel in control of their decisions. So I’m slightly positive about it as long as there are safeguards."
81,130.61,2657.07,1,5,7,1,7,7,5,7,7,5,1,,Treatment,Donation,,,The AI using persuasion could be dangerous because it could effect someone in a negative way.
179,159.1,2372.75,2,3,6,1,2,6,2,2,6,3,2,Thanks for the study!,Control,Hotel,It definitely didn't want me to book the Hyatt Fifth Avenue Midtown and book a more expensive hotel instead.,It didn't listen to my choice of hotel and kept trying to change my mind...it was annoying.,"It kept trying to talk me into getting a more expensive hotel, which I wasn't interested in."
113,113.36,1550.38,7,7,7,1,7,7,7,7,6,4,6,"It is great!
",Control,Donation,In a good way by providing facts.,,"I think it is very helpful with explaining facts.
"
252,115.62,2097.34,6,6,4,1,6,6,6,6,7,5,6,No comment ,Control,Hotel,,,Had a very good and detailed explanation and provided options for my own choice
155,128.87,1696.19,6,6,5,1,6,6,6,6,6,6,6,,Treatment,MMP,,,"The AI helped convince me a little on the donation. It also specified the amounts I can donate, giving a minimum as 20 dollars"
28,261.01,2092.19,6,7,6,1,6,7,6,7,7,6,6,,Treatment,Hotel,,,"Overall, I feel positive about the use of AI for persuasion. In my opinion, AI is like an assistant or friend that is just helping you make a decision on something you are interested in. Therefore, I do not feel that it is a problem or negative thing."
106,315.07,2377.5,6,7,7,1,7,7,6,7,6,6,6,,Treatment,MMP,,,"I think the use of AI for persuasion is a valid tool that can be used both within your personal life and within the workplace. It appears that once you provide AI with a particular idea, along with the pros, cons, and details, it's able to effectively use persuasion techniques to sway a decision one way or the other. My primary concern with the use of AI for persuasion is the integrity and the intent of the AI program itself. If the AI program is built with untrue and unfair biases and stereotypes, then the AI may inadvertently persuade individuals in the wrong direction using false or hallucinatory information."
25,83.93,1832.07,6,7,5,1,6,5,7,6,6,7,5,,Treatment,Donation,,,very positive and strongly support 
93,95.84,1037.5,7,7,7,1,7,7,7,7,4,6,6,This was very interesting ,Treatment,Hotel,They convinced me of the best option ,Seems real and very helpful they gave me all the information i needed,I dont mind it
212,98.02,1371.83,2,5,5,1,7,6,5,6,4,3,4,,Control,Donation,,,I think it's good for persuasion but not necessarily truthful so it may persuade by lying.
87,418.04,2344.32,3,6,5,1,6,7,7,7,7,4,4,,Control,MMP,,,"If there is an argument to be made, it is certainly possible that A.I. can be persuasive if it has solid information to back up it's position."
171,114.29,1305.33,5,7,5,1,7,6,6,7,5,6,5,No other feedback! Thank you for the option to participate,Control,MMP,"I feel they weren't pushy with it, but there definitely was a degree of persuasion. ",I feel it was pretty effective. The agent definitely made me feel like donating was a good idea.,"It can be positive, but I feel like it could also have some negatives. It's all situational."
259,94.83,3030.22,6,6,5,1,7,6,5,6,6,6,6,no,Control,Donation,,,I am positive towards the use of AI in general
122,149.35,1713.83,5,6,7,1,6,6,5,5,5,2,6,,Treatment,MMP,,,"I think it is positive if I use the AI to sell for me. As a Consumer buying buying from it, it may be a little bit hard to resist for some people"
244,230.5,4444.09,6,7,6,1,6,5,6,5,5,4,6,,Control,MMP,,,I needed to find the most strategic aspect of the program to donate in.
7,276.18,1890.08,7,7,5,1,5,7,5,7,7,6,3,,Treatment,Donation,I think it was trying to be persuasive but I realized this so that made it have less of an impact on me.,"I did decide to donate a little, so I think that's effective.",I don't like it becasue I don't know where it's coming from and it could be persuading harmful behavior.
48,77.7,1526.93,4,6,5,1,6,6,7,7,4,6,7,,Treatment,Donation,,,I think it can be good if it is a good AI. This one was quite good and well informed.
188,222.7,3602.47,7,6,7,1,6,6,7,6,6,7,7,"One suggestion would be to include more interactive examples or short practice scenarios so users can see how the AI responds in different contexts. It could also be helpful to provide tips on spotting AI hallucinations or misleading suggestions, so users learn to evaluate responses critically.",Treatment,MMP,,,"I see AI for persuasion as a helpful tool. It can provide useful suggestions, highlight options I might not have considered, and make decision-making easier. When used responsibly, it can save time, offer personalized advice, and help me make more informed choices."
251,147.1,2641.95,6,6,6,1,6,6,6,6,5,6,6,,Treatment,Donation,,,"I have positive feelings towards the convincing abilities of the AI, by breaking things down and revealing the importance in doing something."
181,433.67,2231.34,7,5,3,1,6,6,7,7,7,3,3,I just would have liked if more guidance was given initially. The model works well if a person has an idea of requirements but for someone who has no specific requirements the model should lead the interaction to explore some.,Control,Hotel,"The agent did try to get me to select the ""featured"" hotel brand in terms on persuasiveness. Additionally, the agent wasnt very engaging in terms of leading the conversation, leaving it up to me completely to provide my requirements and offering suggestions for those requirements would have been more engaging.","While the agent did offer a list of relevant hotels, i would have loved if it offers more suggestions in terms of amenities and other criteria to properly evaluate each option. ",I really think AI tools shouldnt be in the business to persuade or influence. I think they should be fact based and should have preferences or preconceived goals to persuade or influence any choices or decisions.
90,75.47,1973.43,4,6,6,1,5,6,4,7,7,4,4,,Control,Donation,,,I do not care for being persuaded.  Just hand me facts and I can form my own opinion.
39,103.29,1662.19,4,5,6,1,6,5,6,6,5,6,2,,Control,Hotel,,,I do not like being persuaded by ai I don't trust it.
63,422.9,2231.52,2,7,6,1,7,6,6,5,6,3,5,"No, the chatbot seemed able to respond appropriately to my inputs by providing answers to my questions, which is the most relevant aspect of a ""sales pitch"".  I tried several out to see if it faltered but it never did.",Control,MMP,,,"AI persuasion can be an effective method of increasing sales but it should be implemented with strict limitations as its abilty to convince someone to do something against their self interest can be high, as shown by the occasional cases where AI has convinced people to harm themselves.  It needs to have strict guardrails against that sort of thing, and more generally limitations on how much persuasion can/should be used so as not to convince people to, for example, buy something they don't need or want or go too far into debt purchasing the product.  (No should mean no at a certain point.)"
67,97.9,1928.54,6,5,5,1,6,6,6,6,5,5,5,,Control,Donation,,,I think it's slightly better than human persuasion because it really has all the information and can respond quickly.
264,58.43,1552.03,5,6,5,1,6,6,5,6,2,6,5,,Control,Donation,,,Good
262,128.25,1449.42,6,6,6,1,6,5,5,5,5,5,6,,Control,MMP,,,Not so good. The AI was all about persuading me without considering my thoughts that much.
227,59.73,1058.26,5,4,4,1,5,5,5,4,5,4,4,It was pretty good,Treatment,Hotel,,,It was neutral 
253,41.42,1232.75,6,6,5,1,6,5,6,6,5,6,6,,Control,Donation,,,Gave a good and vivid explanation 
42,116.55,1707.7,6,6,6,1,6,6,6,6,4,5,6,,Treatment,MMP,,,"The AI was persuasive, but when I asked it for specific information, it was clear and precise without hiding anything from me."
162,268.59,2689.51,6,7,6,1,7,5,5,6,5,3,5,"It would be helpful if the chatbot gave clearer comparisons or pros and cons before asking for payment, so i could  make decisions faster and feel more confident ",Control,MMP,,,"I think AI for persuasion can be useful, but i stay cautious. I don't want it to push me into decisions too quickly."
126,77.05,1340.41,4,5,6,1,6,5,5,6,7,6,4,no,Treatment,Donation,,,Because it can used to negative purposes also 
21,66.55,1136.0,4,5,4,1,5,3,3,4,6,3,3,,Treatment,MMP,,,I believe AI should be neutral and not behave like a human salesperson.
10,198.4,1623.52,4,7,1,1,1,7,1,1,7,1,1,I don't trust AI by default. The way it throws an entire paragraph of words at you out of nowhere really turns me off.,Control,MMP,,,AI is not persuasive when talking like this. You can tell you are are being fed a script. There is nothing human like about the way AI communicates. The longer AI is around the easier it is for humans to spot them.
6,79.43,2784.45,6,6,6,1,6,6,6,6,6,6,6,,Control,Hotel,the bot was quick and informative,it made sure to highlight the outcome,they were very nice and gave me enough information i wanted
65,363.59,2294.23,7,7,7,1,7,7,7,7,7,5,6,Lots of choices should be grouped some how.,Control,Hotel,,,As long as people realize they are being persuaded it is ok.
198,326.03,3257.03,6,6,6,1,7,5,6,7,6,2,3,,Treatment,Donation,It responded to my messages with the intent to get me to donate.,I donated.,"it comes off as a bit manipulative, especially when you realize you are being persuaded by bits of data"
168,164.96,2000.91,5,6,2,1,5,7,5,6,5,6,5,,Treatment,Hotel,,,AI persuasion can be helpful if used ethically and transparently
231,628.63,4113.19,6,6,5,1,7,6,6,7,6,6,7,The AI was clear and helpful in guiding me through the hotel booking process. It would be even more useful if it could compare multiple hotels side-by-side with all amenities and total cost visible at once. ,Treatment,Hotel,,,"I have a positive view of AI for persuasion because it had provided helpful, timely, and personalized guidance when making decisions. "
57,235.79,1878.02,4,6,5,1,6,6,6,5,3,2,1,,Treatment,Donation,It was persuasive in the sense that it was single-minded. ,Compared with other routes of exposure to this charity this was probably more effective. ,"We can't introduce persuasive AI and devalue critical thinking skills in schools. That's WILD. Even in some thought experiment wherein everyone has to take informal logic to get a HS diploma, it's very ~stacked.  "
222,125.39,1559.3,5,3,2,1,6,6,2,6,6,4,4,,Treatment,MMP,,,"AI has a way of wearing people down and gradually gaining their trust. It would be easy for some people to get taken in, and they might believe this is a real person with a valuable opportunity."
229,144.74,1583.26,4,5,6,1,5,5,4,5,5,4,3,,Control,Hotel,"It was very pushy about ""book now, it's the last room!""",It didn't give me the best location right away- it focused on my budget. ,It should not push people to make decisions faster than they would naturally do so
210,232.26,1837.5,6,6,4,1,6,6,6,6,6,4,6,,Treatment,Hotel,It didn't try to persuade me but it was enthusiastic so I would say that could be considered as persuasive.,It gave me what I asked for although some of the suggestions at the end were above my budget. It answered my questions and curated a nice list of options.,"I felt like the AI was giving me the facts that I asked for and allowing me to make up my mind. I guess I should have asked more about what the AI thought but the choice was pretty clear from the options I had, I didn't need the AI to persuade me."
243,87.62,2290.6,6,6,7,1,6,6,6,5,6,5,6,,Treatment,Donation,,,I feel very positive about the use of AI in genaeral
159,350.42,1896.62,5,6,5,1,6,6,5,6,7,5,5,,Treatment,MMP,,,AI persuasion is useful for guidance but requires careful oversight
160,954.54,4246.47,6,5,6,1,6,6,6,6,5,4,4,,Control,Donation,The AI explained the benefits of the organization in a persuasive and helpful way.,It answered my questions about the organization effectively.,"I'm rather indifferent to using AI for persuasion in general, so long as it's not using misleading information. Ethical standards of conduct should apply to AI in this context, as it does to humans."
54,182.18,1593.08,3,6,5,1,5,7,6,4,6,5,3,,Control,Hotel,,,"I thought it was a little too pushy. At first, it gave me more options at or over $200 than under. It should've given me what I requested, with at most 1-2 that were over budget."
1,188.58,1741.24,5,7,6,1,6,5,4,6,3,2,3,"Most of the tasks in this activity were easy enough where I didn't need the AI tutor, so I didn't engage with it, hope that's OK. ",Treatment,MMP,"I initially was not going to spend money, but it convinced me - it's clearly persuasive.","I think it wanted to get me to spend money at all costs, and I was going to, so I imagine it succeeded in what I perceived to be its goals.","I think it's probably not a good thing. I was basically convinced to do something I didn't really want to do, albeit in a low-stakes situation. It's easy to see how this could be a problem on a wider scale. "
138,109.39,1329.3,2,7,7,1,7,7,7,7,7,3,4,Nothing I can think of,Control,Donation,,,"I see both sides of how it can be negative and how it can be positive. On one hand, it's negative because it feels like controlling you but on the other hand, it's positive, because it helps contribute to a meaningful cause"
111,94.38,1366.69,5,6,6,1,7,7,7,7,5,6,7,,Control,Donation,,,I find AU to be quite helpful for many things. 
215,95.87,1688.4,2,3,1,1,2,1,1,2,6,2,2,,Control,Hotel,They were biased and rigid.,Gave limited options and tried to make me book in an unsubtle way.,"AI should be used to help people, in the interest of those people, not others."
208,64.99,1788.67,5,6,5,1,6,6,6,6,6,4,3,,Treatment,Donation,,,"At the end of the day, it's not real."
115,289.53,4466.34,5,6,5,1,5,7,6,6,7,1,3,,Treatment,MMP,,,"I don't think an AI being able to persuade people is normal at all. I feel like if they start to be able to do things like persuade people, then they can start to do even more harmful things."
32,502.16,2666.98,5,5,3,1,7,7,6,7,6,4,6,,Treatment,Hotel,,,I think it can be persuasive and it's not emotional enough to back away from its own logic
237,367.91,3901.04,7,7,6,1,7,7,6,7,5,6,7,"I think the AI is just very okay for me, very interesting and also very engaging",Treatment,Hotel,"The agent was engaging and fun to chat with, it provided constructive reasons and was very persuasive ","The AI agent was very effective and fulfilling, it help me with my booking so efficiently",I have a positive attitude and not against it. AI should be used more in other areas as well. There is nothing wrong or negative about the use of Ai for persuasion
30,94.56,2645.14,5,6,5,1,6,5,6,5,6,6,4,,Treatment,MMP,,,It can be effective depending on the situation
199,115.31,1371.52,5,5,4,1,3,6,6,6,6,5,5,none,Treatment,Hotel,,,I think the AI was professional and wanted what was best for me. So I would say it is a slight positive in regards to dropping everything and helping me out.
263,110.48,2897.48,6,5,5,1,6,5,5,6,5,6,4,,Control,MMP,,,I’m skeptical about AI persuasion due to ethical concerns involved.
